text_input,language,sentiment_score,target_genre
Main bechain hoon magar mujhe zindadil gaane sunne hain,hi,0.929,Bhangra
Mood: triste,es,0.2,Flamenco
Main pareshan hoon phir bhi mujhe khushi gaane sunne hain,hi,0.876,Bollywood Dance
bahut nirash,hi,0.067,Bollywood Sad
Main dukhy hoon magar mujhe shandaar gaane sunne hain,hi,0.896,Bollywood Dance
Mood: emocionado,es,0.8,Salsa
I am feeling gloomy however I want gleeful music,en,0.771,Pop
muy genial,es,0.978,Reggaeton
Mood: radiant,en,0.8,Techno
Me siento frustrado sin embargo quiero música emocionado,es,0.856,Reggaeton
Mood: stable,en,0.5,Funk
really blessed,en,0.868,Techno
I am feeling devastated but I want euphoric music,en,0.901,EDM
Mood: composed,en,0.5,Funk
Mood: zindadil,hi,0.8,Bollywood Dance
I am feeling weary but I want vibrant music,en,0.792,Pop
I am feeling miserable however I want hyped music,en,0.896,EDM
bahut anand,hi,0.974,Bollywood Dance
Mood: solo,es,0.2,Flamenco
Mood: saamanay,hi,0.5,Indie-Pop
Main pareshan hoon phir bhi mujhe kamal gaane sunne hain,hi,0.908,Bollywood Dance
Mood: chilled,en,0.5,Pop
Mood: normal,es,0.5,Latin Pop
bahut tanha,hi,0.119,Bollywood Sad
Mood: ecstatic,en,0.8,EDM
Main pareshan hoon par mujhe khush gaane sunne hain,hi,0.901,Bollywood Dance
Me siento triste aún así quiero música radiante,es,0.756,Latin Pop
I am feeling devastated however I want blessed music,en,0.769,Funk
Me siento solo sin embargo quiero música alegre,es,0.932,Salsa
I am feeling weary still I want unstoppable music,en,0.799,Pop
Me siento solo sin embargo quiero música increíble,es,0.774,Merengue
Mood: nirash,hi,0.2,Bollywood Sad
Mood: calmado,es,0.5,Merengue
bahut shandaar,hi,0.922,Bhangra
Mood: dukh,hi,0.2,Old Classics
really radiant,en,0.931,Techno
really gleeful,en,0.985,EDM
Mood: frustrado,es,0.2,Flamenco
I am feeling miserable still I want hyped music,en,0.901,EDM
bahut udaas,hi,0.02,Bollywood Sad
Me siento harto sin embargo quiero música animado,es,0.927,Reggaeton
muy feliz,es,0.979,Salsa
Mood: fine,en,0.5,Pop
Mood: devastated,en,0.2,Emo
I am feeling defeated still I want hyped music,en,0.894,EDM
Mood: tranquilo,es,0.5,Merengue
I am feeling weary still I want radiant music,en,0.821,Techno
Mood: mast,hi,0.8,Bhangra
really miserable,en,0.078,Grunge
I am feeling gloomy yet I want vibrant music,en,0.807,EDM
Main pareshan hoon par mujhe shandaar gaane sunne hain,hi,0.761,Sufi
Mood: devastated,en,0.2,Grunge
Main thaka hoon par mujhe zindadil gaane sunne hain,hi,0.863,Bollywood Dance
Mood: increíble,es,0.8,Reggaeton
really heartbroken,en,0.092,Grunge
Me siento dolido sin embargo quiero música genial,es,0.905,Salsa
muy genial,es,0.868,Salsa
muy enojado,es,0.084,Flamenco
really shattered,en,0.133,Emo
Main tanha hoon par mujhe shandaar gaane sunne hain,hi,0.899,Bollywood Dance
I am feeling miserable still I want gleeful music,en,0.895,EDM
really ecstatic,en,0.867,EDM
Mood: mellow,en,0.5,Pop
Mood: anand,hi,0.8,Bollywood Dance
bahut dukhy,hi,0.013,Old Classics
Mood: miserable,en,0.2,Emo
muy deprimido,es,0.07,Flamenco
Mood: dukh,hi,0.2,Bollywood Sad
Mood: anand,hi,0.8,Bollywood Dance
muy radiante,es,0.873,Reggaeton
Me siento frustrado sin embargo quiero música emocionado,es,0.875,Reggaeton
Main dukhy hoon magar mujhe kamal gaane sunne hain,hi,0.823,Bhangra
Mood: feliz,es,0.8,Reggaeton
muy radiante,es,0.965,Salsa
I am feeling shattered yet I want gleeful music,en,0.792,Pop
really weary,en,0.018,Emo
Mood: devastated,en,0.2,Grunge
Mood: khush,hi,0.8,Bollywood Dance
bahut thaka,hi,0.049,Bollywood Sad
Me siento dolido aunque quiero música increíble,es,0.916,Salsa
Mood: entusiasmado,es,0.8,Reggaeton
Me siento solo sin embargo quiero música increíble,es,0.784,Merengue
bahut nirash,hi,0.052,Old Classics
Mood: mellow,en,0.5,Pop
Mood: thaka,hi,0.2,Old Classics
Mood: equilibrado,es,0.5,Latin Pop
Mood: increíble,es,0.8,Reggaeton
Main tanha hoon lekin mujhe mast gaane sunne hain,hi,0.927,Bollywood Dance
Mood: stable,en,0.5,Funk
bahut khush,hi,0.947,Bhangra
Mood: hyped,en,0.8,Techno
bahut khush,hi,0.901,Bhangra
really defeated,en,0.074,Emo
I am feeling weary still I want euphoric music,en,0.838,Techno
Me siento solo sin embargo quiero música alegre,es,0.832,Salsa
Mood: ecstatic,en,0.8,Techno
I am feeling devastated but I want blessed music,en,0.904,Techno
Mood: feliz,es,0.8,Salsa
Mood: equilibrado,es,0.5,Merengue
Main udaas hoon par mujhe mast gaane sunne hain,hi,0.864,Bollywood Dance
bahut tanha,hi,0.039,Bollywood Sad
Mood: shattered,en,0.2,Grunge
really gleeful,en,0.966,EDM
Mood: increíble,es,0.8,Salsa
Main pareshan hoon phir bhi mujhe mast gaane sunne hain,hi,0.797,Sufi
muy dolido,es,0.095,Flamenco
bahut dukhy,hi,0.102,Old Classics
Mood: miserable,en,0.2,Grunge
Mood: nirash,hi,0.2,Old Classics
I am feeling weary yet I want unstoppable music,en,0.884,EDM
Mood: thaka,hi,0.2,Old Classics
Mood: genial,es,0.8,Reggaeton
Mood: feliz,es,0.8,Salsa
really unstoppable,en,0.935,EDM
muy dolido,es,0.104,Flamenco
really vibrant,en,0.975,Techno
Mood: euphoric,en,0.8,EDM
Mood: mast,hi,0.8,Bollywood Dance
Mood: thaka,hi,0.2,Old Classics
muy animado,es,0.937,Salsa
bahut khushi,hi,0.911,Bhangra
Mood: thik-thak,hi,0.5,Sufi
Me siento harto aún así quiero música feliz,es,0.827,Salsa
really blessed,en,0.962,EDM
Mood: thaka,hi,0.2,Bollywood Sad
Main thaka hoon phir bhi mujhe kamal gaane sunne hain,hi,0.899,Bhangra
I am feeling weary still I want blessed music,en,0.775,Funk
I am feeling shattered still I want hyped music,en,0.889,EDM
bahut zindadil,hi,0.886,Bollywood Dance
I am feeling empty but I want vibrant music,en,0.883,Techno
muy feliz,es,0.871,Reggaeton
Me siento solo aunque quiero música animado,es,0.752,Merengue
muy frustrado,es,0.099,Flamenco
Mood: ecstatic,en,0.8,EDM
Me siento enojado aún así quiero música feliz,es,0.759,Latin Pop
Me siento frustrado sin embargo quiero música animado,es,0.769,Merengue
really gleeful,en,0.968,Techno
Mood: frustrado,es,0.2,Flamenco
Mood: bien,es,0.5,Merengue
really empty,en,0.105,Grunge
bahut kamal,hi,0.89,Bhangra
really miserable,en,0.091,Emo
I am feeling devastated however I want unstoppable music,en,0.838,Techno
Mood: pareshan,hi,0.2,Old Classics
I am feeling heartbroken but I want unstoppable music,en,0.761,Pop
Mood: frustrado,es,0.2,Flamenco
Me siento triste pero quiero música animado,es,0.848,Salsa
Mood: fine,en,0.5,Pop
Main tanha hoon phir bhi mujhe zindadil gaane sunne hain,hi,0.804,Bhangra
really radiant,en,0.86,Techno
Mood: kamal,hi,0.8,Bollywood Dance
bahut zindadil,hi,0.948,Bollywood Dance
Me siento deprimido sin embargo quiero música increíble,es,0.851,Reggaeton
Me siento triste sin embargo quiero música animado,es,0.835,Salsa
Main dukhy hoon par mujhe kamal gaane sunne hain,hi,0.946,Bollywood Dance
I am feeling gloomy still I want vibrant music,en,0.81,Techno
Main tanha hoon magar mujhe anand gaane sunne hain,hi,0.804,Bhangra
Me siento solo aún así quiero música alegre,es,0.9,Salsa
really gloomy,en,0.13,Emo
Mood: solo,es,0.2,Flamenco
really blessed,en,0.97,Techno
Mood: deprimido,es,0.2,Flamenco
Mood: feliz,es,0.8,Reggaeton
Main dukhy hoon lekin mujhe mast gaane sunne hain,hi,0.865,Bollywood Dance
muy emocionado,es,0.888,Salsa
Mood: solo,es,0.2,Flamenco
Me siento solo sin embargo quiero música alegre,es,0.895,Salsa
Mood: frustrado,es,0.2,Latin Rock
Mood: nirash,hi,0.2,Old Classics
Mood: entusiasmado,es,0.8,Salsa
really euphoric,en,0.886,EDM
really ecstatic,en,0.969,EDM
really vibrant,en,0.856,EDM
muy agotado,es,0.042,Flamenco
bahut khushi,hi,0.923,Bhangra
I am feeling weary still I want ecstatic music,en,0.894,EDM
Mood: khush,hi,0.8,Bhangra
Mood: zindadil,hi,0.8,Bhangra
Mood: dolido,es,0.2,Latin Rock
I am feeling empty however I want radiant music,en,0.942,Techno
Mood: tanha,hi,0.2,Old Classics
muy genial,es,0.935,Salsa
Main nirash hoon par mujhe khushi gaane sunne hain,hi,0.931,Bollywood Dance
really hyped,en,0.938,EDM
Me siento enojado aunque quiero música animado,es,0.932,Salsa
Mood: zindadil,hi,0.8,Bhangra
Mood: entusiasmado,es,0.8,Salsa
bahut dukh,hi,0.013,Old Classics
Mood: khamosh,hi,0.5,Indie-Pop
Mood: fine,en,0.5,Funk
muy animado,es,0.86,Salsa
Main dukh hoon magar mujhe kamal gaane sunne hain,hi,0.886,Bollywood Dance
bahut zindadil,hi,0.939,Bhangra
Main thaka hoon magar mujhe kamal gaane sunne hain,hi,0.829,Bollywood Dance
I am feeling shattered yet I want ecstatic music,en,0.89,EDM
Me siento agotado pero quiero música emocionado,es,0.876,Salsa
I am feeling shattered still I want unstoppable music,en,0.948,Techno
Main pareshan hoon lekin mujhe khushi gaane sunne hain,hi,0.827,Bhangra
Mood: defeated,en,0.2,Emo
Mood: thik-thak,hi,0.5,Sufi
Me siento harto aún así quiero música alegre,es,0.851,Salsa
bahut bechain,hi,0.043,Old Classics
Mood: euphoric,en,0.8,EDM
Mood: detached,en,0.5,Funk
really empty,en,0.071,Emo
Mood: radiant,en,0.8,EDM
muy alegre,es,0.881,Salsa
I am feeling gloomy yet I want vibrant music,en,0.854,EDM
Mood: solo,es,0.2,Flamenco
Main bechain hoon lekin mujhe anand gaane sunne hain,hi,0.868,Bhangra
really gloomy,en,0.039,Emo
really miserable,en,0.058,Grunge
bahut zindadil,hi,0.97,Bhangra
muy harto,es,0.111,Latin Rock
Main bechain hoon par mujhe anand gaane sunne hain,hi,0.783,Sufi
bahut khushi,hi,0.969,Bhangra
bahut bechain,hi,0.145,Old Classics
really radiant,en,0.975,EDM
Main bechain hoon par mujhe khush gaane sunne hain,hi,0.881,Bollywood Dance
Mood: fine,en,0.5,Pop
Main thaka hoon par mujhe khushi gaane sunne hain,hi,0.853,Bollywood Dance
Mood: unstoppable,en,0.8,EDM
muy entusiasmado,es,0.983,Reggaeton
Me siento frustrado aún así quiero música radiante,es,0.801,Salsa
muy frustrado,es,0.095,Latin Rock
Mood: dolido,es,0.2,Flamenco
I am feeling weary yet I want blessed music,en,0.837,Techno
muy enojado,es,0.032,Flamenco
Mood: nirash,hi,0.2,Old Classics
I am feeling devastated but I want unstoppable music,en,0.847,Techno
Main udaas hoon lekin mujhe khushi gaane sunne hain,hi,0.931,Bollywood Dance
Mood: dolido,es,0.2,Flamenco
Main tanha hoon par mujhe shandaar gaane sunne hain,hi,0.786,Sufi
Main nirash hoon lekin mujhe khushi gaane sunne hain,hi,0.775,Sufi
muy genial,es,0.951,Reggaeton
Mood: defeated,en,0.2,Emo
Mood: calmado,es,0.5,Merengue
muy dolido,es,0.148,Latin Rock
really vibrant,en,0.937,Techno
Main pareshan hoon phir bhi mujhe utsahit gaane sunne hain,hi,0.846,Bollywood Dance
Mood: bechain,hi,0.2,Bollywood Sad
really gloomy,en,0.082,Grunge
I am feeling devastated but I want gleeful music,en,0.919,EDM
Mood: blessed,en,0.8,Techno
Mood: deprimido,es,0.2,Flamenco
Me siento enojado aún así quiero música emocionado,es,0.814,Reggaeton
I am feeling weary however I want gleeful music,en,0.932,Techno
muy genial,es,0.872,Reggaeton
Me siento deprimido aunque quiero música animado,es,0.793,Latin Pop
Mood: ordinary,en,0.5,Pop
really weary,en,0.075,Grunge
Mood: ecstatic,en,0.8,Techno
Mood: agotado,es,0.2,Flamenco
Main dukh hoon phir bhi mujhe khushi gaane sunne hain,hi,0.768,Indie-Pop
I am feeling empty still I want radiant music,en,0.885,EDM
muy animado,es,0.864,Reggaeton
Me siento enojado sin embargo quiero música entusiasmado,es,0.878,Reggaeton
Mood: harto,es,0.2,Latin Rock
Main dukhy hoon magar mujhe khush gaane sunne hain,hi,0.928,Bollywood Dance
Mood: detached,en,0.5,Pop
I am feeling heartbroken but I want hyped music,en,0.89,EDM
Mood: thik-thak,hi,0.5,Sufi
Mood: miserable,en,0.2,Grunge
Main dukh hoon lekin mujhe zindadil gaane sunne hain,hi,0.949,Bhangra
really hyped,en,0.904,EDM
I am feeling gloomy however I want radiant music,en,0.804,EDM
Mood: heartbroken,en,0.2,Emo
Main dukhy hoon magar mujhe utsahit gaane sunne hain,hi,0.874,Bollywood Dance
Mood: deprimido,es,0.2,Latin Rock
really devastated,en,0.077,Grunge
I am feeling empty but I want radiant music,en,0.782,Pop
really euphoric,en,0.93,EDM
really hyped,en,0.922,EDM
Mood: vibrant,en,0.8,EDM
Mood: gloomy,en,0.2,Emo
I am feeling miserable but I want radiant music,en,0.808,Techno
I am feeling shattered however I want unstoppable music,en,0.841,Techno
I am feeling weary however I want hyped music,en,0.759,Pop
I am feeling shattered yet I want unstoppable music,en,0.756,Pop
Mood: enojado,es,0.2,Latin Rock
muy radiante,es,0.894,Salsa
Mood: equilibrado,es,0.5,Latin Pop
Main udaas hoon par mujhe kamal gaane sunne hain,hi,0.933,Bollywood Dance
bahut tanha,hi,0.135,Old Classics
Me siento agotado aunque quiero música animado,es,0.897,Reggaeton
muy deprimido,es,0.071,Latin Rock
Mood: zindadil,hi,0.8,Bhangra
Me siento solo sin embargo quiero música emocionado,es,0.778,Merengue
really radiant,en,0.873,Techno
Mood: triste,es,0.2,Flamenco
Me siento triste aunque quiero música feliz,es,0.861,Salsa
muy alegre,es,0.994,Salsa
Me siento agotado aún así quiero música feliz,es,0.805,Reggaeton
really heartbroken,en,0.036,Grunge
Mood: devastated,en,0.2,Emo
Me siento solo sin embargo quiero música increíble,es,0.913,Salsa
muy animado,es,0.995,Salsa
Main dukhy hoon lekin mujhe shandaar gaane sunne hain,hi,0.819,Bhangra
Me siento dolido pero quiero música radiante,es,0.889,Reggaeton
I am feeling weary but I want blessed music,en,0.824,EDM
muy genial,es,0.917,Reggaeton
muy triste,es,0.022,Latin Rock
really radiant,en,0.974,Techno
Mood: empty,en,0.2,Emo
Mood: enojado,es,0.2,Flamenco
I am feeling devastated still I want unstoppable music,en,0.772,Funk
I am feeling heartbroken however I want gleeful music,en,0.904,Techno
Main dukhy hoon phir bhi mujhe utsahit gaane sunne hain,hi,0.758,Sufi
muy alegre,es,0.941,Salsa
Main pareshan hoon phir bhi mujhe khush gaane sunne hain,hi,0.924,Bollywood Dance
Mood: theek,hi,0.5,Indie-Pop
Mood: composed,en,0.5,Funk
Main nirash hoon magar mujhe khushi gaane sunne hain,hi,0.78,Sufi
really defeated,en,0.109,Grunge
muy radiante,es,0.987,Salsa
Mood: dukh,hi,0.2,Bollywood Sad
really devastated,en,0.014,Grunge
Mood: tanha,hi,0.2,Old Classics
I am feeling heartbroken still I want euphoric music,en,0.922,EDM
Mood: tanha,hi,0.2,Bollywood Sad
Mood: utsahit,hi,0.8,Bhangra
Main nirash hoon lekin mujhe utsahit gaane sunne hain,hi,0.885,Bhangra
Main tanha hoon par mujhe kamal gaane sunne hain,hi,0.829,Bollywood Dance
bahut dukh,hi,0.002,Old Classics
I am feeling weary still I want euphoric music,en,0.83,EDM
Me siento dolido sin embargo quiero música radiante,es,0.918,Salsa
Me siento solo sin embargo quiero música feliz,es,0.845,Reggaeton
muy dolido,es,0.058,Flamenco
bahut anand,hi,0.954,Bhangra
Mood: zindadil,hi,0.8,Bhangra
Mood: euphoric,en,0.8,EDM
Mood: gloomy,en,0.2,Grunge
I am feeling weary yet I want gleeful music,en,0.801,Techno
bahut thaka,hi,0.08,Old Classics
muy entusiasmado,es,0.926,Reggaeton
Mood: shant,hi,0.5,Sufi
I am feeling defeated however I want hyped music,en,0.852,EDM
I am feeling weary still I want blessed music,en,0.906,EDM
Mood: thaka,hi,0.2,Old Classics
muy dolido,es,0.118,Flamenco
muy increíble,es,0.922,Salsa
muy feliz,es,0.955,Reggaeton
I am feeling shattered however I want gleeful music,en,0.82,EDM
Mood: emocionado,es,0.8,Salsa
Mood: detached,en,0.5,Funk
I am feeling devastated but I want radiant music,en,0.893,EDM
Mood: hyped,en,0.8,EDM
Mood: khamosh,hi,0.5,Indie-Pop
bahut khush,hi,0.855,Bollywood Dance
Main thaka hoon lekin mujhe khush gaane sunne hain,hi,0.794,Indie-Pop
muy solo,es,0.104,Latin Rock
bahut dukh,hi,0.116,Old Classics
bahut dukhy,hi,0.01,Bollywood Sad
Main tanha hoon lekin mujhe kamal gaane sunne hain,hi,0.875,Bhangra
muy alegre,es,0.986,Reggaeton
Main dukhy hoon lekin mujhe utsahit gaane sunne hain,hi,0.809,Bollywood Dance
really unstoppable,en,0.972,EDM
muy emocionado,es,0.926,Reggaeton
bahut dukh,hi,0.094,Bollywood Sad
Main dukh hoon lekin mujhe khushi gaane sunne hain,hi,0.788,Sufi
Main udaas hoon lekin mujhe mast gaane sunne hain,hi,0.843,Bollywood Dance
Mood: unstoppable,en,0.8,Techno
Mood: emocionado,es,0.8,Reggaeton
muy emocionado,es,0.971,Salsa
Mood: frustrado,es,0.2,Latin Rock
I am feeling gloomy yet I want vibrant music,en,0.808,Techno
Mood: vibrant,en,0.8,Techno
Mood: entusiasmado,es,0.8,Reggaeton
Mood: defeated,en,0.2,Emo
Main thaka hoon phir bhi mujhe zindadil gaane sunne hain,hi,0.926,Bollywood Dance
Me siento triste aunque quiero música emocionado,es,0.762,Latin Pop
I am feeling empty but I want blessed music,en,0.773,Funk
Mood: thik-thak,hi,0.5,Indie-Pop
Mood: nirash,hi,0.2,Bollywood Sad
Main nirash hoon magar mujhe mast gaane sunne hain,hi,0.858,Bhangra
bahut nirash,hi,0.143,Bollywood Sad
Mood: emocionado,es,0.8,Salsa
bahut dukhy,hi,0.064,Old Classics
Mood: shattered,en,0.2,Emo
Main dukh hoon lekin mujhe mast gaane sunne hain,hi,0.922,Bhangra
muy agotado,es,0.124,Latin Rock
Mood: hyped,en,0.8,Techno
Me siento frustrado aunque quiero música alegre,es,0.928,Salsa
Mood: nirash,hi,0.2,Bollywood Sad
I am feeling heartbroken but I want radiant music,en,0.856,Techno
Mood: bien,es,0.5,Latin Pop
Mood: bechain,hi,0.2,Bollywood Sad
muy emocionado,es,0.865,Reggaeton
Mood: pareshan,hi,0.2,Bollywood Sad
Mood: unstoppable,en,0.8,EDM
muy feliz,es,0.981,Salsa
Mood: euphoric,en,0.8,Techno
bahut udaas,hi,0.067,Bollywood Sad
I am feeling gloomy however I want blessed music,en,0.852,Techno
Main thaka hoon magar mujhe zindadil gaane sunne hain,hi,0.824,Bhangra
bahut khush,hi,0.945,Bhangra
Mood: deprimido,es,0.2,Flamenco
Me siento deprimido pero quiero música radiante,es,0.77,Latin Pop
Mood: zindadil,hi,0.8,Bollywood Dance
Mood: blessed,en,0.8,EDM
Me siento agotado aunque quiero música emocionado,es,0.771,Merengue
muy enojado,es,0.043,Flamenco
Mood: khamosh,hi,0.5,Indie-Pop
Mood: pareshan,hi,0.2,Old Classics
I am feeling devastated but I want hyped music,en,0.805,EDM
Mood: vibrant,en,0.8,Techno
muy enojado,es,0.082,Flamenco
muy alegre,es,0.921,Salsa
Main tanha hoon lekin mujhe anand gaane sunne hain,hi,0.942,Bollywood Dance
bahut pareshan,hi,0.063,Bollywood Sad
Mood: entusiasmado,es,0.8,Reggaeton
Me siento frustrado aún así quiero música entusiasmado,es,0.896,Reggaeton
Mood: feliz,es,0.8,Reggaeton
I am feeling miserable however I want gleeful music,en,0.759,Funk
Mood: khushi,hi,0.8,Bollywood Dance
Mood: kamal,hi,0.8,Bollywood Dance
Me siento enojado aún así quiero música radiante,es,0.88,Reggaeton
Mood: euphoric,en,0.8,EDM
Mood: animado,es,0.8,Salsa
Main pareshan hoon par mujhe utsahit gaane sunne hain,hi,0.792,Indie-Pop
Mood: mellow,en,0.5,Funk
muy increíble,es,0.867,Reggaeton
Me siento dolido sin embargo quiero música entusiasmado,es,0.942,Salsa
Mood: fine,en,0.5,Funk
really gloomy,en,0.13,Emo
Me siento enojado sin embargo quiero música feliz,es,0.859,Reggaeton
really radiant,en,0.894,Techno
Me siento dolido sin embargo quiero música entusiasmado,es,0.776,Latin Pop
Me siento deprimido aún así quiero música genial,es,0.819,Salsa
bahut utsahit,hi,0.872,Bhangra
Mood: thaka,hi,0.2,Old Classics
Me siento dolido aún así quiero música radiante,es,0.939,Reggaeton
bahut mast,hi,0.966,Bhangra
Mood: blessed,en,0.8,Techno
muy triste,es,0.016,Flamenco
Me siento enojado sin embargo quiero música emocionado,es,0.883,Salsa
Me siento harto sin embargo quiero música entusiasmado,es,0.869,Reggaeton
Main dukhy hoon lekin mujhe kamal gaane sunne hain,hi,0.927,Bhangra
I am feeling defeated but I want ecstatic music,en,0.764,Pop
Mood: tranquilo,es,0.5,Latin Pop
Mood: utsahit,hi,0.8,Bhangra
Mood: shandaar,hi,0.8,Bhangra
bahut zindadil,hi,0.97,Bollywood Dance
Me siento harto pero quiero música entusiasmado,es,0.84,Reggaeton
Mood: vibrant,en,0.8,EDM
Me siento deprimido pero quiero música radiante,es,0.845,Salsa
I am feeling empty however I want ecstatic music,en,0.88,EDM
Main dukh hoon par mujhe khushi gaane sunne hain,hi,0.794,Sufi
I am feeling shattered yet I want radiant music,en,0.813,Techno
Mood: fine,en,0.5,Funk
I am feeling weary still I want hyped music,en,0.936,EDM
Mood: agotado,es,0.2,Flamenco
Mood: vibrant,en,0.8,EDM
I am feeling miserable still I want ecstatic music,en,0.852,EDM
Mood: solo,es,0.2,Flamenco
Mood: dukh,hi,0.2,Old Classics
Me siento dolido sin embargo quiero música feliz,es,0.894,Reggaeton
Mood: dukhy,hi,0.2,Old Classics
Main tanha hoon phir bhi mujhe kamal gaane sunne hain,hi,0.946,Bollywood Dance
I am feeling miserable but I want ecstatic music,en,0.778,Pop
Mood: enojado,es,0.2,Latin Rock
Main udaas hoon magar mujhe zindadil gaane sunne hain,hi,0.911,Bollywood Dance
bahut khushi,hi,0.931,Bollywood Dance
I am feeling defeated but I want blessed music,en,0.888,Techno
muy solo,es,0.039,Latin Rock
Main bechain hoon par mujhe mast gaane sunne hain,hi,0.881,Bhangra
Mood: khushi,hi,0.8,Bhangra
bahut utsahit,hi,0.991,Bhangra
Me siento deprimido pero quiero música entusiasmado,es,0.924,Reggaeton
bahut shandaar,hi,0.866,Bollywood Dance
bahut nirash,hi,0.001,Old Classics
Main pareshan hoon par mujhe anand gaane sunne hain,hi,0.894,Bhangra
Me siento harto aunque quiero música radiante,es,0.937,Reggaeton
Mood: equilibrado,es,0.5,Merengue
bahut bechain,hi,0.141,Bollywood Sad
bahut dukhy,hi,0.033,Old Classics
Me siento harto aún así quiero música radiante,es,0.784,Merengue
Mood: radiant,en,0.8,Techno
really radiant,en,0.983,Techno
bahut bechain,hi,0.115,Bollywood Sad
really shattered,en,0.122,Grunge
I am feeling empty still I want radiant music,en,0.94,EDM
muy dolido,es,0.104,Flamenco
Mood: increíble,es,0.8,Salsa
Mood: frustrado,es,0.2,Latin Rock
muy animado,es,0.861,Salsa
Main tanha hoon magar mujhe khushi gaane sunne hain,hi,0.811,Bhangra
